,x,gene
1,HMGB2,Hmgb2
2,CDK1,Cdk1
3,NUSAP1,Nusap1
4,UBE2C,Ube2c
5,BIRC5,Birc5
6,TPX2,Tpx2
7,TOP2A,Top2a
8,NDC80,Ndc80
9,CKS2,Cks2
10,NUF2,Nuf2
11,CKS1B,Cks1b
12,MKI67,Mki67
13,TMPO,Tmpo
14,CENPF,Cenpf
15,TACC3,Tacc3
16,FAM64A,Pimreg
17,SMC4,Smc4
18,CCNB2,Ccnb2
19,CKAP2L,Ckap2l
20,CKAP2,Ckap2
21,AURKB,Aurkb
22,BUB1,Bub1
23,KIF11,Kif11
24,ANP32E,Anp32e
25,TUBB4B,Tubb4b
26,GTSE1,Gtse1
27,KIF20B,Kif20b
28,HJURP,Hjurp
29,CDCA3,Cdca3
30,HN1,Jpt1
31,CDC20,Cdc20
32,TTK,Ttk
33,CDC25C,Cdc25c
34,KIF2C,Kif2c
35,RANGAP1,Rangap1
36,NCAPD2,Ncapd2
37,DLGAP5,Dlgap5
38,CDCA2,Cdca2
39,CDCA8,Cdca8
40,ECT2,Ect2
41,KIF23,Kif23
42,HMMR,Hmmr
43,AURKA,Aurka
44,PSRC1,Psrc1
45,ANLN,Anln
46,LBR,Lbr
47,CKAP5,Ckap5
48,CENPE,Cenpe
49,CTCF,Ctcf
50,NEK2,Nek2
51,G2E3,G2e3
52,GAS2L3,Gas2l3
53,CBX5,Cbx5
54,CENPA,Cenpa
