,x,gene
1,MCM5,Mcm5
2,PCNA,Pcna
3,TYMS,Tyms
4,FEN1,Fen1
5,MCM2,Mcm2
6,MCM4,Mcm4
7,RRM1,Rrm1
8,UNG,Ung
9,GINS2,Gins2
10,MCM6,Mcm6
11,CDCA7,Cdca7
12,DTL,Dtl
13,PRIM1,Prim1
14,UHRF1,Uhrf1
15,MLF1IP,Cenpu
16,HELLS,Hells
17,RFC2,Rfc2
18,RPA2,Rpa2
19,NASP,Nasp
20,RAD51AP1,Rad51ap1
21,GMNN,Gmnn
22,WDR76,Wdr76
23,SLBP,Slbp
24,CCNE2,Ccne2
25,UBR7,Ubr7
26,POLD3,Pold3
27,MSH2,Msh2
28,ATAD2,Atad2
29,RAD51,Rad51
30,RRM2,Rrm2
31,CDC45,Cdc45
32,CDC6,Cdc6
33,EXO1,Exo1
34,TIPIN,Tipin
35,DSCC1,Dscc1
36,BLM,Blm
37,CASP8AP2,Casp8ap2
38,USP1,Usp1
39,CLSPN,Clspn
40,POLA1,Pola1
41,CHAF1B,Chaf1b
42,BRIP1,Brip1
43,E2F8,E2f8
